id,path,action,label
0,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi,ApplyEyeMakeup,0
1,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi,ApplyEyeMakeup,0
2,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi,ApplyEyeMakeup,0
3,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi,ApplyEyeMakeup,0
4,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi,ApplyEyeMakeup,0
5,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi,ApplyEyeMakeup,0
6,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi,ApplyEyeMakeup,0
7,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi,ApplyEyeMakeup,0
8,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi,ApplyEyeMakeup,0
9,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi,ApplyEyeMakeup,0
10,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06.avi,ApplyEyeMakeup,0
11,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07.avi,ApplyEyeMakeup,0
12,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01.avi,ApplyEyeMakeup,0
13,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02.avi,ApplyEyeMakeup,0
14,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03.avi,ApplyEyeMakeup,0
15,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04.avi,ApplyEyeMakeup,0
16,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05.avi,ApplyEyeMakeup,0
17,data/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01.avi,ApplyEyeMakeup,0
